表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,,,,,
公開日：,2022年6月21日,,,,,,,,,,,,,
,,,,,,,,,,,,,,
***,調査又は集計していないもの,,,,,,,,,,,,,
-,データが得られないもの,,,,,,,,,,,,,
X,数値が秘匿されているもの,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,/項目 コード,E9101,,E9102,,E9103,,E9105,,E9106,
調査年 コード,調査年,地域 コード,地域,/項目,E9101_最終学歴人口（卒業者総数）【人】,注釈,E9102_最終学歴人口（小学校・中学校）【人】,注釈,E9103_最終学歴人口（高校・旧中）【人】,注釈,E9105_最終学歴人口（短大・高専）【人】,注釈,E9106_最終学歴人口（大学・大学院）【人】,注釈
2010100000,2010年度,1100,北海道 札幌市,,1552253,,171427,,567951,,249171,,250223,
2010100000,2010年度,1101,北海道 札幌市 中央区,,183342,,10799,,52106,,31582,,42358,
2010100000,2010年度,1102,北海道 札幌市 北区,,219244,,26271,,83762,,34233,,33702,
2010100000,2010年度,1103,北海道 札幌市 東区,,207551,,29621,,79988,,32503,,27782,
2010100000,2010年度,1104,北海道 札幌市 白石区,,168370,,21197,,60281,,26285,,21053,
2010100000,2010年度,1105,北海道 札幌市 豊平区,,173226,,15581,,59419,,29024,,29931,
2010100000,2010年度,1106,北海道 札幌市 南区,,119945,,13718,,49184,,17446,,18300,
2010100000,2010年度,1107,北海道 札幌市 西区,,173730,,17135,,62254,,28690,,28372,
2010100000,2010年度,1108,北海道 札幌市 厚別区,,103669,,12449,,39049,,16996,,19124,
2010100000,2010年度,1109,北海道 札幌市 手稲区,,112080,,14720,,47224,,17735,,15725,
2010100000,2010年度,1110,北海道 札幌市 清田区,,91096,,9936,,34684,,14677,,13876,
2010100000,2010年度,1202,北海道 函館市,,232696,,47300,,105464,,23106,,21988,
2010100000,2010年度,1203,北海道 小樽市,,111107,,25063,,57958,,13075,,10884,
2010100000,2010年度,1204,北海道 旭川市,,287696,,65108,,142924,,31430,,30002,
2010100000,2010年度,1205,北海道 室蘭市,,77773,,21035,,36771,,8353,,7137,
2010100000,2010年度,1206,北海道 釧路市,,149571,,39404,,76376,,13678,,12564,
2010100000,2010年度,1207,北海道 帯広市,,137838,,21180,,55250,,15970,,13294,
2010100000,2010年度,1208,北海道 北見市,,102691,,23536,,45256,,11206,,9496,
2010100000,2010年度,1209,北海道 夕張市,,9894,,4127,,4493,,637,,631,
2010100000,2010年度,1210,北海道 岩見沢市,,74488,,17270,,38054,,9236,,7614,
2010100000,2010年度,1211,北海道 網走市,,32964,,8136,,16361,,3736,,3217,
2010100000,2010年度,1212,北海道 留萌市,,20954,,5941,,11079,,1779,,1795,
2010100000,2010年度,1213,北海道 苫小牧市,,141212,,29472,,76383,,14909,,11873,
2010100000,2010年度,1214,北海道 稚内市,,33193,,9493,,14963,,2915,,2334,
2010100000,2010年度,1215,北海道 美唄市,,21871,,7786,,9826,,2453,,1455,
2010100000,2010年度,1216,北海道 芦別市,,14543,,6130,,6284,,1069,,808,
2010100000,2010年度,1217,北海道 江別市,,94722,,14830,,44347,,15096,,14437,
2010100000,2010年度,1218,北海道 赤平市,,11131,,5097,,4706,,762,,489,
2010100000,2010年度,1219,北海道 紋別市,,21085,,6759,,10071,,1853,,1760,
2010100000,2010年度,1220,北海道 士別市,,18449,,6505,,8471,,1586,,1166,
2010100000,2010年度,1221,北海道 名寄市,,25067,,7435,,13147,,2469,,1912,
2010100000,2010年度,1222,北海道 三笠市,,9078,,3607,,4313,,681,,436,
2010100000,2010年度,1223,北海道 根室市,,24489,,8706,,11956,,1723,,1510,
2010100000,2010年度,1224,北海道 千歳市,,73919,,13186,,36686,,9360,,7257,
2010100000,2010年度,1225,北海道 滝川市,,35878,,7444,,15186,,3774,,3010,
2010100000,2010年度,1226,北海道 砂川市,,16060,,4706,,8084,,1977,,1257,
2010100000,2010年度,1227,北海道 歌志内市,,3887,,1725,,1702,,269,,140,
2010100000,2010年度,1228,北海道 深川市,,20112,,6034,,9507,,2290,,1609,
2010100000,2010年度,1229,北海道 富良野市,,20035,,6253,,9596,,2210,,1660,
2010100000,2010年度,1230,北海道 登別市,,42814,,11892,,22866,,4523,,3103,
2010100000,2010年度,1231,北海道 恵庭市,,53928,,10164,,27430,,7477,,5864,
2010100000,2010年度,1233,北海道 伊達市,,30385,,7796,,13729,,3410,,2857,
2010100000,2010年度,1234,北海道 北広島市,,47732,,6343,,20488,,7728,,7400,
2010100000,2010年度,1235,北海道 石狩市,,48101,,11014,,23970,,6594,,4931,
2010100000,2010年度,1236,北海道 北斗市,,38320,,9755,,20645,,3621,,2508,
2010100000,2010年度,1303,北海道 当別町,,14588,,3670,,7236,,1842,,1437,
2010100000,2010年度,1304,北海道 新篠津村,,2684,,955,,1178,,277,,146,
2010100000,2010年度,1331,北海道 松前町,,7706,,4407,,2600,,367,,302,
2010100000,2010年度,1332,北海道 福島町,,4514,,2339,,1822,,201,,121,
2010100000,2010年度,1333,北海道 知内町,,4258,,1613,,2088,,271,,197,
2010100000,2010年度,1334,北海道 木古内町,,4692,,1879,,2265,,314,,231,
2010100000,2010年度,1337,北海道 七飯町,,23486,,5098,,11276,,2373,,1955,
2010100000,2010年度,1343,北海道 鹿部町,,3965,,1683,,1832,,216,,231,
2010100000,2010年度,1345,北海道 森町,,15074,,6146,,7218,,953,,728,
2010100000,2010年度,1346,北海道 八雲町,,15868,,5780,,7286,,1516,,1062,
2010100000,2010年度,1347,北海道 長万部町,,5327,,2033,,2622,,347,,300,
2010100000,2010年度,1361,北海道 江差町,,7686,,2581,,3760,,699,,645,
2010100000,2010年度,1362,北海道 上ノ国町,,4581,,2296,,1518,,289,,172,
2010100000,2010年度,1363,北海道 厚沢部町,,3807,,1625,,1606,,306,,263,
2010100000,2010年度,1364,北海道 乙部町,,3762,,1512,,1723,,303,,168,
2010100000,2010年度,1367,北海道 奥尻町,,2638,,1420,,871,,177,,154,
2010100000,2010年度,1370,北海道 今金町,,5260,,1849,,2530,,545,,331,
2010100000,2010年度,1371,北海道 せたな町,,8313,,3393,,3782,,672,,444,
2010100000,2010年度,1391,北海道 島牧村,,1561,,872,,554,,72,,62,
2010100000,2010年度,1392,北海道 寿都町,,2994,,1293,,1226,,243,,212,
2010100000,2010年度,1393,北海道 黒松内町,,2683,,1081,,982,,347,,255,
2010100000,2010年度,1394,北海道 蘭越町,,4444,,1702,,1994,,362,,317,
2010100000,2010年度,1395,北海道 ニセコ町,,4037,,836,,2163,,480,,526,
2010100000,2010年度,1396,北海道 真狩村,,1840,,562,,907,,208,,144,
2010100000,2010年度,1397,北海道 留寿都村,,1666,,411,,810,,190,,163,
2010100000,2010年度,1398,北海道 喜茂別町,,2196,,640,,1135,,237,,179,
2010100000,2010年度,1399,北海道 京極町,,3286,,1166,,1524,,295,,296,
2010100000,2010年度,1400,北海道 倶知安町,,12905,,2717,,6843,,1654,,1653,
2010100000,2010年度,1401,北海道 共和町,,5388,,1480,,2884,,487,,441,
2010100000,2010年度,1402,北海道 岩内町,,12238,,4674,,5519,,1008,,815,
2010100000,2010年度,1403,北海道 泊村,,1565,,645,,665,,136,,117,
2010100000,2010年度,1404,北海道 神恵内村,,1005,,531,,342,,70,,61,
2010100000,2010年度,1405,北海道 積丹町,,2220,,1059,,886,,135,,116,
2010100000,2010年度,1406,北海道 古平町,,3231,,1481,,1342,,221,,154,
2010100000,2010年度,1407,北海道 仁木町,,3191,,1059,,1561,,302,,235,
2010100000,2010年度,1408,北海道 余市町,,17763,,4955,,9364,,1749,,1531,
2010100000,2010年度,1409,北海道 赤井川村,,1058,,379,,439,,112,,121,
2010100000,2010年度,1423,北海道 南幌町,,7044,,1633,,3709,,915,,604,
2010100000,2010年度,1424,北海道 奈井江町,,5240,,1986,,2370,,535,,326,
2010100000,2010年度,1425,北海道 上砂川町,,3583,,1707,,1546,,181,,110,
2010100000,2010年度,1427,北海道 由仁町,,5035,,1467,,2761,,495,,284,
2010100000,2010年度,1428,北海道 長沼町,,9770,,2607,,4643,,1193,,794,
2010100000,2010年度,1429,北海道 栗山町,,11237,,3412,,5744,,1103,,836,
2010100000,2010年度,1430,北海道 月形町,,4299,,2031,,1600,,346,,265,
2010100000,2010年度,1431,北海道 浦臼町,,1901,,584,,1016,,193,,99,
2010100000,2010年度,1432,北海道 新十津川町,,6120,,2061,,3053,,574,,371,
2010100000,2010年度,1433,北海道 妹背牛町,,2983,,946,,1631,,277,,127,
2010100000,2010年度,1434,北海道 秩父別町,,2341,,713,,1216,,243,,140,
2010100000,2010年度,1436,北海道 雨竜町,,2442,,907,,1176,,212,,135,
2010100000,2010年度,1437,北海道 北竜町,,1886,,693,,840,,254,,96,
2010100000,2010年度,1438,北海道 沼田町,,3081,,1055,,1453,,347,,207,
2010100000,2010年度,1452,北海道 鷹栖町,,5898,,1659,,2971,,546,,449,
2010100000,2010年度,1453,北海道 東神楽町,,7185,,1520,,3557,,909,,723,
2010100000,2010年度,1454,北海道 当麻町,,6021,,1876,,3028,,432,,343,
2010100000,2010年度,1455,北海道 比布町,,3503,,1253,,1770,,279,,199,
2010100000,2010年度,1456,北海道 愛別町,,2874,,1076,,1391,,218,,174,
2010100000,2010年度,1457,北海道 上川町,,3957,,1459,,1907,,285,,305,
2010100000,2010年度,1458,北海道 東川町,,6326,,1898,,3090,,660,,573,
2010100000,2010年度,1459,北海道 美瑛町,,9265,,2896,,4660,,851,,711,
2010100000,2010年度,1460,北海道 上富良野町,,9464,,3184,,4955,,719,,478,
2010100000,2010年度,1461,北海道 中富良野町,,4436,,1650,,2029,,388,,287,
2010100000,2010年度,1462,北海道 南富良野町,,2385,,931,,996,,272,,186,
2010100000,2010年度,1463,北海道 占冠村,,1219,,326,,571,,142,,163,
2010100000,2010年度,1464,北海道 和寒町,,3315,,1314,,1603,,228,,148,
2010100000,2010年度,1465,北海道 剣淵町,,3025,,1122,,1503,,254,,145,
2010100000,2010年度,1468,北海道 下川町,,3257,,1484,,1289,,261,,218,
2010100000,2010年度,1469,北海道 美深町,,4359,,1576,,2068,,295,,337,
2010100000,2010年度,1470,北海道 音威子府村,,781,,218,,404,,65,,94,
2010100000,2010年度,1471,北海道 中川町,,1682,,676,,728,,121,,152,
2010100000,2010年度,1472,北海道 幌加内町,,1444,,610,,575,,141,,105,
2010100000,2010年度,1481,北海道 増毛町,,4477,,2023,,1898,,285,,269,
2010100000,2010年度,1482,北海道 小平町,,3163,,1470,,1242,,241,,204,
2010100000,2010年度,1483,北海道 苫前町,,3107,,1356,,1325,,231,,158,
2010100000,2010年度,1484,北海道 羽幌町,,6907,,2645,,3256,,549,,414,
2010100000,2010年度,1485,北海道 初山別村,,1177,,508,,416,,116,,69,
2010100000,2010年度,1486,北海道 遠別町,,2604,,1092,,1143,,190,,147,
2010100000,2010年度,1487,北海道 天塩町,,3211,,1139,,1489,,295,,269,
2010100000,2010年度,1511,北海道 猿払村,,2339,,851,,971,,293,,200,
2010100000,2010年度,1512,北海道 浜頓別町,,3566,,1225,,1684,,342,,261,
2010100000,2010年度,1513,北海道 中頓別町,,1695,,604,,595,,165,,104,
2010100000,2010年度,1514,北海道 枝幸町,,7695,,2987,,3531,,653,,478,
2010100000,2010年度,1516,北海道 豊富町,,3708,,1420,,1641,,363,,235,
2010100000,2010年度,1517,北海道 礼文町,,2692,,1359,,912,,268,,146,
2010100000,2010年度,1518,北海道 利尻町,,2278,,1070,,847,,207,,149,
2010100000,2010年度,1519,北海道 利尻富士町,,2608,,1246,,1011,,192,,139,
2010100000,2010年度,1520,北海道 幌延町,,2262,,736,,955,,273,,290,
2010100000,2010年度,1543,北海道 美幌町,,17975,,5304,,9057,,1658,,1041,
2010100000,2010年度,1544,北海道 津別町,,4873,,2073,,2106,,413,,268,
2010100000,2010年度,1545,北海道 斜里町,,11059,,3400,,5634,,1106,,871,
2010100000,2010年度,1546,北海道 清里町,,3842,,1439,,1688,,446,,268,
2010100000,2010年度,1547,北海道 小清水町,,4570,,1592,,2096,,555,,315,
2010100000,2010年度,1549,北海道 訓子府町,,4587,,1586,,2240,,448,,313,
2010100000,2010年度,1550,北海道 置戸町,,2927,,1173,,1148,,258,,211,
2010100000,2010年度,1552,北海道 佐呂間町,,5048,,2010,,2155,,523,,340,
2010100000,2010年度,1555,北海道 遠軽町,,18742,,6427,,8634,,1883,,1340,
2010100000,2010年度,1559,北海道 湧別町,,8455,,3091,,4107,,742,,510,
2010100000,2010年度,1560,北海道 滝上町,,2668,,1134,,1024,,262,,238,
2010100000,2010年度,1561,北海道 興部町,,3626,,1240,,1672,,406,,285,
2010100000,2010年度,1562,北海道 西興部村,,993,,399,,387,,120,,87,
2010100000,2010年度,1563,北海道 雄武町,,4266,,1499,,2034,,428,,264,
2010100000,2010年度,1564,北海道 大空町,,6562,,1587,,3091,,637,,492,
2010100000,2010年度,1571,北海道 豊浦町,,3819,,1382,,1771,,377,,289,
2010100000,2010年度,1575,北海道 壮瞥町,,2802,,912,,1126,,254,,225,
2010100000,2010年度,1578,北海道 白老町,,16606,,5583,,8636,,1193,,1008,
2010100000,2010年度,1581,北海道 厚真町,,4069,,1349,,1845,,460,,373,
2010100000,2010年度,1584,北海道 洞爺湖町,,8746,,3144,,4079,,800,,615,
2010100000,2010年度,1585,北海道 安平町,,7235,,1922,,3663,,653,,584,
2010100000,2010年度,1586,北海道 むかわ町,,8225,,3019,,3953,,705,,508,
2010100000,2010年度,1601,北海道 日高町,,11483,,3803,,5711,,1056,,896,
2010100000,2010年度,1602,北海道 平取町,,4691,,1880,,2039,,402,,366,
2010100000,2010年度,1604,北海道 新冠町,,4840,,1731,,2328,,453,,326,
2010100000,2010年度,1607,北海道 浦河町,,11976,,3511,,5994,,1209,,1188,
2010100000,2010年度,1608,北海道 様似町,,4369,,1619,,2174,,337,,219,
2010100000,2010年度,1609,北海道 えりも町,,4462,,1476,,2343,,394,,238,
2010100000,2010年度,1610,北海道 新ひだか町,,21269,,6975,,10845,,1887,,1537,
2010100000,2010年度,1631,北海道 音更町,,35899,,8109,,18176,,4881,,3161,
2010100000,2010年度,1632,北海道 士幌町,,5308,,1218,,2030,,674,,454,
2010100000,2010年度,1633,北海道 上士幌町,,4345,,1336,,1753,,502,,340,
2010100000,2010年度,1634,北海道 鹿追町,,4684,,1085,,2001,,587,,407,
2010100000,2010年度,1635,北海道 新得町,,5667,,1787,,2504,,673,,571,
2010100000,2010年度,1636,北海道 清水町,,8394,,2482,,3990,,928,,702,
2010100000,2010年度,1637,北海道 芽室町,,15020,,2897,,7335,,1847,,1388,
2010100000,2010年度,1638,北海道 中札内村,,3181,,682,,1367,,387,,364,
2010100000,2010年度,1639,北海道 更別村,,2784,,712,,1517,,304,,247,
2010100000,2010年度,1641,北海道 大樹町,,5098,,1384,,2212,,591,,397,
2010100000,2010年度,1642,北海道 広尾町,,6603,,2467,,2955,,645,,485,
2010100000,2010年度,1643,北海道 幕別町,,21752,,5225,,11704,,2729,,1799,
2010100000,2010年度,1644,北海道 池田町,,6417,,1942,,3098,,675,,534,
2010100000,2010年度,1645,北海道 豊頃町,,2911,,1163,,1216,,303,,185,
2010100000,2010年度,1646,北海道 本別町,,6976,,2395,,3269,,727,,449,
2010100000,2010年度,1647,北海道 足寄町,,6554,,2227,,2235,,616,,448,
2010100000,2010年度,1648,北海道 陸別町,,2308,,960,,980,,215,,135,
2010100000,2010年度,1649,北海道 浦幌町,,4717,,1856,,2071,,404,,261,
2010100000,2010年度,1661,北海道 釧路町,,16620,,4853,,8878,,1518,,1008,
2010100000,2010年度,1662,北海道 厚岸町,,8919,,3425,,4293,,660,,484,
2010100000,2010年度,1663,北海道 浜中町,,5423,,1927,,2767,,351,,371,
2010100000,2010年度,1664,北海道 標茶町,,6872,,2273,,3323,,696,,505,
2010100000,2010年度,1665,北海道 弟子屈町,,7061,,2463,,3219,,604,,520,
